Title
Annual Visitation and Record Year by Park (1904 - Last Calendar Year)

RegionName,ParkName,ParkType,Year,TRV
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2011,"4,986,700"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2010,"5,285,761"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2009,"5,213,030"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2008,"5,127,074"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2007,"4,836,229"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2006,"5,254,216"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2005,"5,052,264"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2004,"5,052,264"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2003,"5,059,410"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2002,"5,165,415"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2001,"4,867,273"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,2000,"4,900,745"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1999,"4,953,427"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1998,"5,019,175"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1997,"4,752,100"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1996,"4,657,735"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1995,"4,726,251"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1994,"4,773,659"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1993,"4,167,638"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1992,"4,037,407"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1991,"4,275,847"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1990,"2,330,419"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1989,"2,434,195"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1988,"2,527,862"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1987,"2,546,884"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1986,"2,247,087"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1985,"2,186,179"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1984,"2,136,212"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1983,"2,293,666"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1982,"2,135,790"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1981,"2,396,100"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1980,"2,470,965"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1979,"2,002,543"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1978,"1,697,651"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1977,"1,518,200"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1976,"1,246,200"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1975,"799,300"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1974,"521,000"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1973,"505,400"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1972,"826,046"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1971,"1,007,900"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1970,"815,300"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1969,"666,300"
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1968,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1967,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1966,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1965,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1964,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1963,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1962,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1961,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1960,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1959,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1958,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1957,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1956,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1955,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1954,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1953,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1952,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1951,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1950,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1949,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1948,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1947,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1946,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1945,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1944,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1943,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1942,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1941,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1940,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1939,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1938,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1937,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1936,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1935,
Northeast  Region,Delaware Water Gap NRA,National Recreation Area,1934,
