Title
Annual Visitation and Record Year by Park (1904 - Last Calendar Year)

RegionName,ParkName,ParkType,Year,TRV
Northeast  Region,Gateway NRA,National Recreation Area,1928,
Northeast  Region,Gateway NRA,National Recreation Area,1927,
Northeast  Region,Gateway NRA,National Recreation Area,1926,
Northeast  Region,Gateway NRA,National Recreation Area,1925,
Northeast  Region,Gateway NRA,National Recreation Area,1924,
Northeast  Region,Gateway NRA,National Recreation Area,1923,
Northeast  Region,Gateway NRA,National Recreation Area,1922,
Northeast  Region,Gateway NRA,National Recreation Area,1921,
Northeast  Region,Gateway NRA,National Recreation Area,1920,
Northeast  Region,Gateway NRA,National Recreation Area,1919,
Northeast  Region,Gauley River NRA,National Recreation Area,2024,"272,898"
Northeast  Region,Gauley River NRA,National Recreation Area,2023,"187,223"
Northeast  Region,Gauley River NRA,National Recreation Area,2022,"163,510"
Northeast  Region,Gauley River NRA,National Recreation Area,2021,"167,794"
Northeast  Region,Gauley River NRA,National Recreation Area,2020,"109,378"
Northeast  Region,Gauley River NRA,National Recreation Area,2019,"119,282"
Northeast  Region,Gauley River NRA,National Recreation Area,2018,"97,778"
Northeast  Region,Gauley River NRA,National Recreation Area,2017,"118,733"
Northeast  Region,Gauley River NRA,National Recreation Area,2016,"115,888"
Northeast  Region,Gauley River NRA,National Recreation Area,2015,"105,374"
Northeast  Region,Gauley River NRA,National Recreation Area,2014,"117,354"
Northeast  Region,Gauley River NRA,National Recreation Area,2013,"135,309"
Northeast  Region,Gauley River NRA,National Recreation Area,2012,"115,283"
Northeast  Region,Gauley River NRA,National Recreation Area,2011,"109,780"
Northeast  Region,Gauley River NRA,National Recreation Area,2010,"107,223"
Northeast  Region,Gauley River NRA,National Recreation Area,2009,"113,185"
Northeast  Region,Gauley River NRA,National Recreation Area,2008,"112,262"
Northeast  Region,Gauley River NRA,National Recreation Area,2007,"118,169"
Northeast  Region,Gauley River NRA,National Recreation Area,2006,"116,854"
Northeast  Region,Gauley River NRA,National Recreation Area,2005,"128,796"
Northeast  Region,Gauley River NRA,National Recreation Area,2004,"155,183"
Northeast  Region,Gauley River NRA,National Recreation Area,2003,"148,793"
Northeast  Region,Gauley River NRA,National Recreation Area,2002,"188,613"
Northeast  Region,Gauley River NRA,National Recreation Area,2001,"236,192"
Northeast  Region,Gauley River NRA,National Recreation Area,2000,"253,375"
Northeast  Region,Gauley River NRA,National Recreation Area,1999,"236,918"
Northeast  Region,Gauley River NRA,National Recreation Area,1998,"230,226"
Northeast  Region,Gauley River NRA,National Recreation Area,1997,"248,878"
Northeast  Region,Gauley River NRA,National Recreation Area,1996,"214,880"
Northeast  Region,Gauley River NRA,National Recreation Area,1995,"200,277"
Northeast  Region,Gauley River NRA,National Recreation Area,1994,"258,747"
Northeast  Region,Gauley River NRA,National Recreation Area,1993,"195,314"
Northeast  Region,Gauley River NRA,National Recreation Area,1992,
Northeast  Region,Gauley River NRA,National Recreation Area,1991,
Northeast  Region,Gauley River NRA,National Recreation Area,1990,
Northeast  Region,Gauley River NRA,National Recreation Area,1989,
Northeast  Region,Gauley River NRA,National Recreation Area,1988,
Northeast  Region,Gauley River NRA,National Recreation Area,1987,
Northeast  Region,Gauley River NRA,National Recreation Area,1986,
Northeast  Region,Gauley River NRA,National Recreation Area,1985,
Northeast  Region,Gauley River NRA,National Recreation Area,1984,
Northeast  Region,Gauley River NRA,National Recreation Area,1983,
Northeast  Region,Gauley River NRA,National Recreation Area,1982,
Northeast  Region,Gauley River NRA,National Recreation Area,1981,
Northeast  Region,Gauley River NRA,National Recreation Area,1980,
Northeast  Region,Gauley River NRA,National Recreation Area,1979,
Northeast  Region,Gauley River NRA,National Recreation Area,1978,
Northeast  Region,Gauley River NRA,National Recreation Area,1977,
Northeast  Region,Gauley River NRA,National Recreation Area,1976,
Northeast  Region,Gauley River NRA,National Recreation Area,1975,
Northeast  Region,Gauley River NRA,National Recreation Area,1974,
Northeast  Region,Gauley River NRA,National Recreation Area,1973,
Northeast  Region,Gauley River NRA,National Recreation Area,1972,
Northeast  Region,Gauley River NRA,National Recreation Area,1971,
Northeast  Region,Gauley River NRA,National Recreation Area,1970,
Northeast  Region,Gauley River NRA,National Recreation Area,1969,
Northeast  Region,Gauley River NRA,National Recreation Area,1968,
Northeast  Region,Gauley River NRA,National Recreation Area,1967,
Northeast  Region,Gauley River NRA,National Recreation Area,1966,
Northeast  Region,Gauley River NRA,National Recreation Area,1965,
Northeast  Region,Gauley River NRA,National Recreation Area,1964,
Northeast  Region,Gauley River NRA,National Recreation Area,1963,
Northeast  Region,Gauley River NRA,National Recreation Area,1962,
Northeast  Region,Gauley River NRA,National Recreation Area,1961,
Northeast  Region,Gauley River NRA,National Recreation Area,1960,
Northeast  Region,Gauley River NRA,National Recreation Area,1959,
Northeast  Region,Gauley River NRA,National Recreation Area,1958,
Northeast  Region,Gauley River NRA,National Recreation Area,1957,
Northeast  Region,Gauley River NRA,National Recreation Area,1956,
Northeast  Region,Gauley River NRA,National Recreation Area,1955,
Northeast  Region,Gauley River NRA,National Recreation Area,1954,
Northeast  Region,Gauley River NRA,National Recreation Area,1953,
Northeast  Region,Gauley River NRA,National Recreation Area,1952,
Northeast  Region,Gauley River NRA,National Recreation Area,1951,
Northeast  Region,Gauley River NRA,National Recreation Area,1950,
Northeast  Region,Gauley River NRA,National Recreation Area,1949,
Northeast  Region,Gauley River NRA,National Recreation Area,1948,
Northeast  Region,Gauley River NRA,National Recreation Area,1947,
Northeast  Region,Gauley River NRA,National Recreation Area,1946,
Northeast  Region,Gauley River NRA,National Recreation Area,1945,
Northeast  Region,Gauley River NRA,National Recreation Area,1944,
Northeast  Region,Gauley River NRA,National Recreation Area,1943,
Northeast  Region,Gauley River NRA,National Recreation Area,1942,
Northeast  Region,Gauley River NRA,National Recreation Area,1941,
Northeast  Region,Gauley River NRA,National Recreation Area,1940,
Northeast  Region,Gauley River NRA,National Recreation Area,1939,
Northeast  Region,Gauley River NRA,National Recreation Area,1938,
Northeast  Region,Gauley River NRA,National Recreation Area,1937,
Northeast  Region,Gauley River NRA,National Recreation Area,1936,
Northeast  Region,Gauley River NRA,National Recreation Area,1935,
Northeast  Region,Gauley River NRA,National Recreation Area,1934,
Northeast  Region,Gauley River NRA,National Recreation Area,1933,
Northeast  Region,Gauley River NRA,National Recreation Area,1932,
Northeast  Region,Gauley River NRA,National Recreation Area,1931,
Northeast  Region,Gauley River NRA,National Recreation Area,1930,
Northeast  Region,Gauley River NRA,National Recreation Area,1929,
Northeast  Region,Gauley River NRA,National Recreation Area,1928,
Northeast  Region,Gauley River NRA,National Recreation Area,1927,
Northeast  Region,Gauley River NRA,National Recreation Area,1926,
Northeast  Region,Gauley River NRA,National Recreation Area,1925,
Northeast  Region,Gauley River NRA,National Recreation Area,1924,
Northeast  Region,Gauley River NRA,National Recreation Area,1923,
Northeast  Region,Gauley River NRA,National Recreation Area,1922,
Northeast  Region,Gauley River NRA,National Recreation Area,1921,
Northeast  Region,Gauley River NRA,National Recreation Area,1920,
Northeast  Region,Gauley River NRA,National Recreation Area,1919,
Northeast  Region,New River Gorge NP & PRES,National Park,2024,"1,811,937"
Northeast  Region,New River Gorge NP & PRES,National Park,2023,"1,707,223"
Northeast  Region,New River Gorge NP & PRES,National Park,2022,"1,593,523"
Northeast  Region,New River Gorge NP & PRES,National Park,2021,"1,682,720"
Northeast  Region,New River Gorge NP & PRES,National Park,2020,"1,054,374"
Northeast  Region,New River Gorge NP & PRES,National Park,2019,"1,195,721"
Northeast  Region,New River Gorge NP & PRES,National Park,2018,"1,232,627"
Northeast  Region,New River Gorge NP & PRES,National Park,2017,"1,168,658"
Northeast  Region,New River Gorge NP & PRES,National Park,2016,"1,197,931"
Northeast  Region,New River Gorge NP & PRES,National Park,2015,"1,178,753"
Northeast  Region,New River Gorge NP & PRES,National Park,2014,"1,124,799"
Northeast  Region,New River Gorge NP & PRES,National Park,2013,"1,071,823"
Northeast  Region,New River Gorge NP & PRES,National Park,2012,"1,128,195"
Northeast  Region,New River Gorge NP & PRES,National Park,2011,"1,071,088"
Northeast  Region,New River Gorge NP & PRES,National Park,2010,"1,151,213"
Northeast  Region,New River Gorge NP & PRES,National Park,2009,"1,144,318"
Northeast  Region,New River Gorge NP & PRES,National Park,2008,"1,212,854"
Northeast  Region,New River Gorge NP & PRES,National Park,2007,"1,178,012"
Northeast  Region,New River Gorge NP & PRES,National Park,2006,"1,124,688"
Northeast  Region,New River Gorge NP & PRES,National Park,2005,"1,045,814"
Northeast  Region,New River Gorge NP & PRES,National Park,2004,"1,151,782"
Northeast  Region,New River Gorge NP & PRES,National Park,2003,"1,111,164"
Northeast  Region,New River Gorge NP & PRES,National Park,2002,"1,215,875"
Northeast  Region,New River Gorge NP & PRES,National Park,2001,"1,231,529"
Northeast  Region,New River Gorge NP & PRES,National Park,2000,"1,132,531"
Northeast  Region,New River Gorge NP & PRES,National Park,1999,"1,186,501"
Northeast  Region,New River Gorge NP & PRES,National Park,1998,"1,197,649"
Northeast  Region,New River Gorge NP & PRES,National Park,1997,"1,228,242"
Northeast  Region,New River Gorge NP & PRES,National Park,1996,"1,237,637"
Northeast  Region,New River Gorge NP & PRES,National Park,1995,"1,177,238"
Northeast  Region,New River Gorge NP & PRES,National Park,1994,"1,079,994"
Northeast  Region,New River Gorge NP & PRES,National Park,1993,"1,005,598"
Northeast  Region,New River Gorge NP & PRES,National Park,1992,"940,310"
Northeast  Region,New River Gorge NP & PRES,National Park,1991,"772,172"
Northeast  Region,New River Gorge NP & PRES,National Park,1990,"378,035"
Northeast  Region,New River Gorge NP & PRES,National Park,1989,"411,195"
Northeast  Region,New River Gorge NP & PRES,National Park,1988,"399,722"
Northeast  Region,New River Gorge NP & PRES,National Park,1987,"436,791"
Northeast  Region,New River Gorge NP & PRES,National Park,1986,"394,079"
Northeast  Region,New River Gorge NP & PRES,National Park,1985,"263,021"
Northeast  Region,New River Gorge NP & PRES,National Park,1984,"231,295"
Northeast  Region,New River Gorge NP & PRES,National Park,1983,
Northeast  Region,New River Gorge NP & PRES,National Park,1982,
Northeast  Region,New River Gorge NP & PRES,National Park,1981,
Northeast  Region,New River Gorge NP & PRES,National Park,1980,
Northeast  Region,New River Gorge NP & PRES,National Park,1979,
Northeast  Region,New River Gorge NP & PRES,National Park,1978,
Northeast  Region,New River Gorge NP & PRES,National Park,1977,
Northeast  Region,New River Gorge NP & PRES,National Park,1976,
Northeast  Region,New River Gorge NP & PRES,National Park,1975,
Northeast  Region,New River Gorge NP & PRES,National Park,1974,
Northeast  Region,New River Gorge NP & PRES,National Park,1973,
Northeast  Region,New River Gorge NP & PRES,National Park,1972,
Northeast  Region,New River Gorge NP & PRES,National Park,1971,
Northeast  Region,New River Gorge NP & PRES,National Park,1970,
Northeast  Region,New River Gorge NP & PRES,National Park,1969,
Northeast  Region,New River Gorge NP & PRES,National Park,1968,
Northeast  Region,New River Gorge NP & PRES,National Park,1967,
Northeast  Region,New River Gorge NP & PRES,National Park,1966,
Northeast  Region,New River Gorge NP & PRES,National Park,1965,
Northeast  Region,New River Gorge NP & PRES,National Park,1964,
Northeast  Region,New River Gorge NP & PRES,National Park,1963,
Northeast  Region,New River Gorge NP & PRES,National Park,1962,
Northeast  Region,New River Gorge NP & PRES,National Park,1961,
Northeast  Region,New River Gorge NP & PRES,National Park,1960,
Northeast  Region,New River Gorge NP & PRES,National Park,1959,
Northeast  Region,New River Gorge NP & PRES,National Park,1958,
Northeast  Region,New River Gorge NP & PRES,National Park,1957,
Northeast  Region,New River Gorge NP & PRES,National Park,1956,
Northeast  Region,New River Gorge NP & PRES,National Park,1955,
Northeast  Region,New River Gorge NP & PRES,National Park,1954,
Northeast  Region,New River Gorge NP & PRES,National Park,1953,
Northeast  Region,New River Gorge NP & PRES,National Park,1952,
Northeast  Region,New River Gorge NP & PRES,National Park,1951,
Northeast  Region,New River Gorge NP & PRES,National Park,1950,
Northeast  Region,New River Gorge NP & PRES,National Park,1949,
Northeast  Region,New River Gorge NP & PRES,National Park,1948,
Northeast  Region,New River Gorge NP & PRES,National Park,1947,
Northeast  Region,New River Gorge NP & PRES,National Park,1946,
Northeast  Region,New River Gorge NP & PRES,National Park,1945,
Northeast  Region,New River Gorge NP & PRES,National Park,1944,
Northeast  Region,New River Gorge NP & PRES,National Park,1943,
Northeast  Region,New River Gorge NP & PRES,National Park,1942,
Northeast  Region,New River Gorge NP & PRES,National Park,1941,
Northeast  Region,New River Gorge NP & PRES,National Park,1940,
Northeast  Region,New River Gorge NP & PRES,National Park,1939,
Northeast  Region,New River Gorge NP & PRES,National Park,1938,
Northeast  Region,New River Gorge NP & PRES,National Park,1937,
Northeast  Region,New River Gorge NP & PRES,National Park,1936,
Northeast  Region,New River Gorge NP & PRES,National Park,1935,
Northeast  Region,New River Gorge NP & PRES,National Park,1934,
Northeast  Region,New River Gorge NP & PRES,National Park,1933,
Northeast  Region,New River Gorge NP & PRES,National Park,1932,
Northeast  Region,New River Gorge NP & PRES,National Park,1931,
Northeast  Region,New River Gorge NP & PRES,National Park,1930,
Northeast  Region,New River Gorge NP & PRES,National Park,1929,
Northeast  Region,New River Gorge NP & PRES,National Park,1928,
Northeast  Region,New River Gorge NP & PRES,National Park,1927,
Northeast  Region,New River Gorge NP & PRES,National Park,1926,
Northeast  Region,New River Gorge NP & PRES,National Park,1925,
Northeast  Region,New River Gorge NP & PRES,National Park,1924,
Northeast  Region,New River Gorge NP & PRES,National Park,1923,
Northeast  Region,New River Gorge NP & PRES,National Park,1922,
Northeast  Region,New River Gorge NP & PRES,National Park,1921,
Northeast  Region,New River Gorge NP & PRES,National Park,1920,
Northeast  Region,New River Gorge NP & PRES,National Park,1919,
Northeast  Region,Shenandoah NP,National Park,2024,"1,720,211"
Northeast  Region,Shenandoah NP,National Park,2023,"1,576,008"
Northeast  Region,Shenandoah NP,National Park,2022,"1,449,300"
Northeast  Region,Shenandoah NP,National Park,2021,"1,592,312"
Northeast  Region,Shenandoah NP,National Park,2020,"1,666,265"
Northeast  Region,Shenandoah NP,National Park,2019,"1,425,507"
Northeast  Region,Shenandoah NP,National Park,2018,"1,264,880"
Northeast  Region,Shenandoah NP,National Park,2017,"1,458,874"
Northeast  Region,Shenandoah NP,National Park,2016,"1,437,341"
Northeast  Region,Shenandoah NP,National Park,2015,"1,321,873"
Northeast  Region,Shenandoah NP,National Park,2014,"1,255,321"
Northeast  Region,Shenandoah NP,National Park,2013,"1,136,505"
Northeast  Region,Shenandoah NP,National Park,2012,"1,210,200"
Northeast  Region,Shenandoah NP,National Park,2011,"1,209,883"
Northeast  Region,Shenandoah NP,National Park,2010,"1,253,386"
Northeast  Region,Shenandoah NP,National Park,2009,"1,120,981"
Northeast  Region,Shenandoah NP,National Park,2008,"1,075,878"
Northeast  Region,Shenandoah NP,National Park,2007,"1,107,227"
Northeast  Region,Shenandoah NP,National Park,2006,"1,076,150"
Northeast  Region,Shenandoah NP,National Park,2005,"1,094,912"
Northeast  Region,Shenandoah NP,National Park,2004,"1,261,000"
Northeast  Region,Shenandoah NP,National Park,2003,"1,163,950"
Northeast  Region,Shenandoah NP,National Park,2002,"1,389,244"
Northeast  Region,Shenandoah NP,National Park,2001,"1,498,561"
Northeast  Region,Shenandoah NP,National Park,2000,"1,419,579"
Northeast  Region,Shenandoah NP,National Park,1999,"1,339,286"
Northeast  Region,Shenandoah NP,National Park,1998,"1,473,100"
Northeast  Region,Shenandoah NP,National Park,1997,"1,587,790"
Northeast  Region,Shenandoah NP,National Park,1996,"1,571,019"
Northeast  Region,Shenandoah NP,National Park,1995,"1,757,794"
Northeast  Region,Shenandoah NP,National Park,1994,"1,926,883"
Northeast  Region,Shenandoah NP,National Park,1993,"1,951,366"
Northeast  Region,Shenandoah NP,National Park,1992,"1,822,193"
Northeast  Region,Shenandoah NP,National Park,1991,"1,939,486"
Northeast  Region,Shenandoah NP,National Park,1990,"1,771,780"
Northeast  Region,Shenandoah NP,National Park,1989,"1,873,817"
Northeast  Region,Shenandoah NP,National Park,1988,"1,937,155"
Northeast  Region,Shenandoah NP,National Park,1987,"1,767,727"
Northeast  Region,Shenandoah NP,National Park,1986,"1,843,985"
Northeast  Region,Shenandoah NP,National Park,1985,"1,933,085"
Northeast  Region,Shenandoah NP,National Park,1984,"1,869,307"
Northeast  Region,Shenandoah NP,National Park,1983,"1,768,378"
Northeast  Region,Shenandoah NP,National Park,1982,"1,751,972"
Northeast  Region,Shenandoah NP,National Park,1981,"1,819,546"
Northeast  Region,Shenandoah NP,National Park,1980,"1,699,228"
Northeast  Region,Shenandoah NP,National Park,1979,"1,521,451"
Northeast  Region,Shenandoah NP,National Park,1978,"2,002,205"
Northeast  Region,Shenandoah NP,National Park,1977,"2,789,100"
Northeast  Region,Shenandoah NP,National Park,1976,"2,448,600"
Northeast  Region,Shenandoah NP,National Park,1975,"2,420,600"
Northeast  Region,Shenandoah NP,National Park,1974,"1,949,400"
Northeast  Region,Shenandoah NP,National Park,1973,"2,308,400"
Northeast  Region,Shenandoah NP,National Park,1972,"2,038,224"
Northeast  Region,Shenandoah NP,National Park,1971,"2,140,600"
Northeast  Region,Shenandoah NP,National Park,1970,"2,411,500"
Northeast  Region,Shenandoah NP,National Park,1969,"2,400,900"
Northeast  Region,Shenandoah NP,National Park,1968,"2,273,200"
Northeast  Region,Shenandoah NP,National Park,1967,"2,133,100"
Northeast  Region,Shenandoah NP,National Park,1966,"2,349,100"
Northeast  Region,Shenandoah NP,National Park,1965,"2,289,400"
Northeast  Region,Shenandoah NP,National Park,1964,"2,276,200"
Northeast  Region,Shenandoah NP,National Park,1963,"2,237,800"
Northeast  Region,Shenandoah NP,National Park,1962,"2,049,400"
Northeast  Region,Shenandoah NP,National Park,1961,"1,929,300"
Northeast  Region,Shenandoah NP,National Park,1960,"1,780,100"
Northeast  Region,Shenandoah NP,National Park,1959,"1,786,700"
Northeast  Region,Shenandoah NP,National Park,1958,"1,655,300"
Northeast  Region,Shenandoah NP,National Park,1957,"1,655,500"
Northeast  Region,Shenandoah NP,National Park,1956,"1,623,500"
Northeast  Region,Shenandoah NP,National Park,1955,"1,543,400"
Northeast  Region,Shenandoah NP,National Park,1954,"1,659,600"
Northeast  Region,Shenandoah NP,National Park,1953,"1,673,346"
Northeast  Region,Shenandoah NP,National Park,1952,"1,494,647"
Northeast  Region,Shenandoah NP,National Park,1951,"1,412,499"
Northeast  Region,Shenandoah NP,National Park,1950,"1,279,387"
Northeast  Region,Shenandoah NP,National Park,1949,"1,157,946"
Northeast  Region,Shenandoah NP,National Park,1948,"932,068"
Northeast  Region,Shenandoah NP,National Park,1947,"858,630"
Northeast  Region,Shenandoah NP,National Park,1946,"709,789"
Northeast  Region,Shenandoah NP,National Park,1945,"542,718"
Northeast  Region,Shenandoah NP,National Park,1944,"137,831"
Northeast  Region,Shenandoah NP,National Park,1943,"41,831"
Northeast  Region,Shenandoah NP,National Park,1942,"138,098"
Northeast  Region,Shenandoah NP,National Park,1941,"1,071,199"
Northeast  Region,Shenandoah NP,National Park,1940,"950,807"
Northeast  Region,Shenandoah NP,National Park,1939,"911,612"
Northeast  Region,Shenandoah NP,National Park,1938,"954,967"
Northeast  Region,Shenandoah NP,National Park,1937,"1,041,204"
Northeast  Region,Shenandoah NP,National Park,1936,"694,098"
Northeast  Region,Shenandoah NP,National Park,1935,
Northeast  Region,Shenandoah NP,National Park,1934,
Northeast  Region,Shenandoah NP,National Park,1933,
Northeast  Region,Shenandoah NP,National Park,1932,
Northeast  Region,Shenandoah NP,National Park,1931,
Northeast  Region,Shenandoah NP,National Park,1930,
Northeast  Region,Shenandoah NP,National Park,1929,
Northeast  Region,Shenandoah NP,National Park,1928,
Northeast  Region,Shenandoah NP,National Park,1927,
Northeast  Region,Shenandoah NP,National Park,1926,
Northeast  Region,Shenandoah NP,National Park,1925,
Northeast  Region,Shenandoah NP,National Park,1924,
Northeast  Region,Shenandoah NP,National Park,1923,
Northeast  Region,Shenandoah NP,National Park,1922,
Northeast  Region,Shenandoah NP,National Park,1921,
Northeast  Region,Shenandoah NP,National Park,1920,
Northeast  Region,Shenandoah NP,National Park,1919,
Southeast  Region,Biscayne NP,National Park,2024,"512,213"
Southeast  Region,Biscayne NP,National Park,2023,"571,242"
Southeast  Region,Biscayne NP,National Park,2022,"701,023"
Southeast  Region,Biscayne NP,National Park,2021,"705,655"
Southeast  Region,Biscayne NP,National Park,2020,"402,770"
Southeast  Region,Biscayne NP,National Park,2019,"708,522"
Southeast  Region,Biscayne NP,National Park,2018,"469,253"
Southeast  Region,Biscayne NP,National Park,2017,"446,961"
Southeast  Region,Biscayne NP,National Park,2016,"514,709"
Southeast  Region,Biscayne NP,National Park,2015,"508,164"
Southeast  Region,Biscayne NP,National Park,2014,"525,745"
Southeast  Region,Biscayne NP,National Park,2013,"486,848"
Southeast  Region,Biscayne NP,National Park,2012,"495,613"
Southeast  Region,Biscayne NP,National Park,2011,"476,077"
Southeast  Region,Biscayne NP,National Park,2010,"467,612"
Southeast  Region,Biscayne NP,National Park,2009,"437,745"
Southeast  Region,Biscayne NP,National Park,2008,"686,062"
Southeast  Region,Biscayne NP,National Park,2007,"517,442"
Southeast  Region,Biscayne NP,National Park,2006,"608,836"
Southeast  Region,Biscayne NP,National Park,2005,"563,728"
Southeast  Region,Biscayne NP,National Park,2004,"478,304"
Southeast  Region,Biscayne NP,National Park,2003,"490,031"
Southeast  Region,Biscayne NP,National Park,2002,"513,397"
Southeast  Region,Biscayne NP,National Park,2001,"489,343"
Southeast  Region,Biscayne NP,National Park,2000,"393,151"
Southeast  Region,Biscayne NP,National Park,1999,"442,585"
Southeast  Region,Biscayne NP,National Park,1998,"403,239"
Southeast  Region,Biscayne NP,National Park,1997,"392,069"
Southeast  Region,Biscayne NP,National Park,1996,"338,603"
Southeast  Region,Biscayne NP,National Park,1995,"584,519"
Southeast  Region,Biscayne NP,National Park,1994,"25,147"
Southeast  Region,Biscayne NP,National Park,1993,"19,950"
Southeast  Region,Biscayne NP,National Park,1992,"307,512"
Southeast  Region,Biscayne NP,National Park,1991,"488,134"
Southeast  Region,Biscayne NP,National Park,1990,"573,376"
Southeast  Region,Biscayne NP,National Park,1989,"589,957"
Southeast  Region,Biscayne NP,National Park,1988,"531,036"
Southeast  Region,Biscayne NP,National Park,1987,"607,968"
Southeast  Region,Biscayne NP,National Park,1986,"578,013"
Southeast  Region,Biscayne NP,National Park,1985,"460,921"
Southeast  Region,Biscayne NP,National Park,1984,"340,567"
Southeast  Region,Biscayne NP,National Park,1983,"369,082"
Southeast  Region,Biscayne NP,National Park,1982,"348,219"
Southeast  Region,Biscayne NP,National Park,1981,"305,502"
Southeast  Region,Biscayne NP,National Park,1980,"248,071"
Southeast  Region,Biscayne NP,National Park,1979,"202,938"
Southeast  Region,Biscayne NP,National Park,1978,"177,416"
Southeast  Region,Biscayne NP,National Park,1977,"205,900"
Southeast  Region,Biscayne NP,National Park,1976,"339,100"
Southeast  Region,Biscayne NP,National Park,1975,"351,500"
Southeast  Region,Biscayne NP,National Park,1974,"409,700"
Southeast  Region,Biscayne NP,National Park,1973,"243,100"
Southeast  Region,Biscayne NP,National Park,1972,"78,147"
Southeast  Region,Biscayne NP,National Park,1971,
Southeast  Region,Biscayne NP,National Park,1970,
Southeast  Region,Biscayne NP,National Park,1969,
Southeast  Region,Biscayne NP,National Park,1968,
Southeast  Region,Biscayne NP,National Park,1967,
Southeast  Region,Biscayne NP,National Park,1966,
Southeast  Region,Biscayne NP,National Park,1965,
Southeast  Region,Biscayne NP,National Park,1964,
Southeast  Region,Biscayne NP,National Park,1963,
Southeast  Region,Biscayne NP,National Park,1962,
Southeast  Region,Biscayne NP,National Park,1961,
Southeast  Region,Biscayne NP,National Park,1960,
Southeast  Region,Biscayne NP,National Park,1959,
Southeast  Region,Biscayne NP,National Park,1958,
Southeast  Region,Biscayne NP,National Park,1957,
Southeast  Region,Biscayne NP,National Park,1956,
Southeast  Region,Biscayne NP,National Park,1955,
Southeast  Region,Biscayne NP,National Park,1954,
Southeast  Region,Biscayne NP,National Park,1953,
Southeast  Region,Biscayne NP,National Park,1952,
Southeast  Region,Biscayne NP,National Park,1951,
Southeast  Region,Biscayne NP,National Park,1950,
Southeast  Region,Biscayne NP,National Park,1949,
Southeast  Region,Biscayne NP,National Park,1948,
Southeast  Region,Biscayne NP,National Park,1947,
Southeast  Region,Biscayne NP,National Park,1946,
Southeast  Region,Biscayne NP,National Park,1945,
Southeast  Region,Biscayne NP,National Park,1944,
Southeast  Region,Biscayne NP,National Park,1943,
Southeast  Region,Biscayne NP,National Park,1942,
Southeast  Region,Biscayne NP,National Park,1941,
Southeast  Region,Biscayne NP,National Park,1940,
Southeast  Region,Biscayne NP,National Park,1939,
Southeast  Region,Biscayne NP,National Park,1938,
Southeast  Region,Biscayne NP,National Park,1937,
Southeast  Region,Biscayne NP,National Park,1936,
Southeast  Region,Biscayne NP,National Park,1935,
Southeast  Region,Biscayne NP,National Park,1934,
Southeast  Region,Biscayne NP,National Park,1933,
Southeast  Region,Biscayne NP,National Park,1932,
Southeast  Region,Biscayne NP,National Park,1931,
Southeast  Region,Biscayne NP,National Park,1930,
Southeast  Region,Biscayne NP,National Park,1929,
Southeast  Region,Biscayne NP,National Park,1928,
Southeast  Region,Biscayne NP,National Park,1927,
Southeast  Region,Biscayne NP,National Park,1926,
Southeast  Region,Biscayne NP,National Park,1925,
Southeast  Region,Biscayne NP,National Park,1924,
Southeast  Region,Biscayne NP,National Park,1923,
Southeast  Region,Biscayne NP,National Park,1922,
Southeast  Region,Biscayne NP,National Park,1921,
Southeast  Region,Biscayne NP,National Park,1920,
Southeast  Region,Biscayne NP,National Park,1919,
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2024,"2,940,804"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2023,"3,183,081"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2022,"3,537,848"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2021,"3,256,151"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2020,"3,066,877"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2019,"3,393,133"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2018,"2,873,866"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2017,"2,768,499"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2016,"2,736,385"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2015,"3,173,204"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2014,"3,119,160"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2013,"3,039,892"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2012,"3,168,137"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2011,"3,161,297"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2010,"3,011,393"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2009,"2,830,655"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2008,"2,826,171"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2007,"2,836,077"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2006,"2,842,670"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2005,"2,511,306"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2004,"2,672,138"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2003,"2,694,541"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2002,"2,806,578"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2001,"2,751,256"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,2000,"2,659,709"
Southeast  Region,Chattahoochee River NRA,National Recreation Area,1999,"2,898,155"
